하림홀딩스,1.0
한일단조,3.0
유성티엔에스,2.0
이화전기,2.0
이화전기보통1신주,
동부금고,
세원물산,2.0
갑을메탈,2.0
피에스엠씨,
국제종합토건,
케이피에프,2.0
경창산업,3.0
동신특강,3.0
국정교과서,
PN풍년,3.0
삼천리자전거,3.0
외환리스금융,2.0
대구리스,
삼주건설,3.0
중앙금고,
부산방직,3.0
시노펙스,2.0
그린기술투자,
대성엘텍,2.0
한마음상호저축은행,3.0
팬텀엔터그룹,
한국선재,2.0
동방라이텍,2.0
한국정보통신,1.0
신라에스지,3.0
케이씨피드,3.0
동화기업,2.0
이스턴마스텍,
우경,3.0
우경보통1신주,
부영철강,
동신건설,3.0
고려,
알덱스,2.0
아난티,2.0
제이에스티나,2.0
특수건설,2.0
현대정보기술,
에스티씨라이프,2.0
IDH,2.0
동남리스금융,3.0
삼우이엠씨,2.0
위너지스,1.0
제일창투,
신원금속,
광진실업,3.0
영성제강,
한양철강,
한일제관,
대백저축은행,3.0
서울전자통신,2.0
코리아나,1.0
텔슨전자,1.0
아주IB투자,
코리아이앤디,2.0
한보금고,
케이디엠,
상보,
대륭산업,3.0
대백쇼핑,3.0
팜스토리,2.0
대성창투,2.0
스탠더드텔레콤,1.0
미래SCI,2.0
휴맥스홀딩스,1.0
네오퍼플,3.0
GS홈쇼핑,1.0
에이치엘비,3.0
한국대아진공,
바른테크놀로지,1.0
코엔텍,
중앙디자인,
NICE평가정보,
에스마크,3.0
드래곤플라이,1.0
쏠라엔텍,2.0
디패션,1.0
한글과컴퓨터,1.0
원익홀딩스,1.0
한국통신엠닷컴,1.0
보진재,3.0
양지사,
주은리스,3.0
화니백화점,
국민신용카드,
아이즈비전,2.0
에스에이엠티,
녹십자셀,1.0
오스템,3.0
ST&I,2.0
엔에스엔,1.0
신민저축은행,3.0
에듀패스,1.0
동산진흥,3.0
엠바이엔,1.0
피에스케이,1.0
대선조선,3.0
일공공일안경,3.0
C&S자산관리,3.0
후야인포넷,1.0
아즈텍WB,
으뜸상호저축은행,2.0
이수세라믹,
다우데이타,1.0
삼일,3.0
알티전자,2.0
핸디소프트,1.0
KTF,1.0
터보테크,1.0
케이엠더블유,
TJ미디어,1.0
카라반케이디이,1.0
