Code,Name,결산월,상장폐지일,상장폐지사유
A003290,엔케이텔레콤,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A003320,신한증권,3,2001-09-10,신한금융지주회사로의 주식이전
A003330,하나증권,3,2006-10-26,㈜하나금융지주의 완전 자회사화(100%소유)
A003400,삼성신약,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A003450,케이비증권,12,2016-11-01,지주회사의 완전자회사화
A003500,삼진화학,12,1998-05-19,자본전액잠식 7년계속에 따른 상장폐지유예기간종료
A003590,광덕물산,3,2004-07-21,감사의견부적정 및 자본전액잠식
A003600,SK,12,2015-08-17,해산 사유 발생
A003640,유니온스틸,12,2015-01-16,해산 사유 발생
A003660,고려시멘트,12,2008-08-20,유진기업㈜에 피흡수합병으로 해산
A003810,대우,12,2001-05-23,영업활동에필요한자산을보유하고있지않음
A003840,중원,12,1999-10-02,주요자산 경매(2회이상 유찰)등으로 상장폐지유예기간 종료
A003900,해태유업,12,2004-03-11,2002사업연도 감사인의 감사보고서상 감사의견 거절
A003930,부흥,12,2004-06-29,2003사업연도 감사인의 감사보고서상 감사의견거절
A003940,삼양제넥스,12,2016-01-21,(주)삼양사에 흡수합병되어 해산
A003970,동부산업,12,1997-01-31,동부건설에  피흡수 합병으로 인한 해산
A003980,한일합섬,12,2003-09-24,주가수준 미달
A003990,BHK,12,2009-04-30,2008사업연도 감사인의 감사보고서상 감사의견거절
A004010,롯데미도파,12,2013-01-22,롯데쇼핑(주)에 피흡수합병으로 해산
A004110,대선주조,12,2002-04-27,자본전액잠식2년계속
A004130,대덕GDS,12,2018-12-19,피흡수합병
A004190,스마텔,12,2004-03-31,감사의견거절
A004210,한일방직,6,1999-02-12,중요 영업용자산처분(주요자산경매)
A004230,세신,12,2009-04-30,2008사업연도 감사인의 감사보고서상 감사의견거절
A004260,대성자원,12,1997-08-29,대성산업㈜에 피흡수합병으로 인한 해산
A004280,아시아자동차공업,12,1999-07-16,기아자동차㈜에 피흡수합병으로 인한 해산
A004290,아이케이엔터프라이즈,12,2002-01-18,(주)두산에 피흡수합병
A004330,진영산업,8,1994-12-23,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지,경매완료"
A004350,한일양행의약품,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A004390,오리온전기,12,2002-04-13,2001사업년도 외부감사인의 감사의견부적정
A004420,동국무역,12,2002-04-27,자본전액잠식2년계속
A004460,고합,12,2002-04-12,2001사업년도 외부감사인의 감사의견부적정
A004510,디와이홀딩스,12,2004-04-28,영업활동정지 6월 계속
A004530,SY,12,2008-04-22,감사의견 의견거절
A004550,대우송도개발,12,2012-06-22,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A004600,두산음료,12,1997-10-22,오비맥주에 피흡수합병으로 인한 해산
A004610,성화,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A004620,캠브리지코오롱,12,2011-05-17,코오롱인더스트리(주)에 피흡수합병으로 인한 해산
A004660,신동방씨피,12,2005-03-30,자진상장폐지신청
A004730,진로종합식품,12,2000-01-29,상장폐지유예기간 종료
A004740,보루네오,12,2017-07-05,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A004820,조인에너지,12,2010-04-15,자본전액잠식
A004940,하나은행,12,2013-04-26,신청에 의한 상장폐지
A005000,남선물산,12,1997-06-16,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A005020,한국장기신용은행,12,1999-01-08,㈜국민은행과 합병후 해산
A005040,두산기계,12,1998-10-09,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A005060,대우통신,12,2002-04-19,2001사업년도 외부감사인의 감사의견거절
A005100,쌍용제지,6,1999-06-16,주권상장폐지신청
A005270,대구은행,12,2011-06-07,지주회사의 완전자회사화(지주회사 신규상장)
A005280,부산은행,12,2011-03-30,지주회사의 완전자회사화(지주회사 신규상장)
A005330,카스코,12,2007-06-20,현대모비스(주)에 피흡수합병으로 해산
A005350,봉신,12,2011-04-15,자본전액잠식
A005410,신광산업,12,2000-09-09,회사정리절차 폐지 결정
A005510,충청은행,12,1999-02-25,영업인가취소에 따른 해산사유발생
A005560,JS전선,12,2014-04-10,신청에 의한 상장폐지
A005580,삼익주택,12,2000-06-30,회사정리절차개시신청 기각결정에 따른 상장폐지유예기간 종료
A005600,중앙제지,12,2005-01-06,최종부도발생 및 은행거래정지
A005620,대성합동지주,12,2017-08-25,해산 사유 발생(대성산업(주)에 흡수합병되어 해산)
A005660,한진건설,12,1999-08-27,한진중공업㈜에 피흡수합병으로 인한 해산
A005760,위너스인프라인,10,2009-02-19,감사의견 의견거절
A005770,광주은행,12,2003-04-16,주식분포상황요건미달 2년계속
A005790,만도기계,12,2000-02-12,상장폐지유예기간 종료
A005890,동원증권,3,2003-07-21,지주회사의 완전자회사화(지주회사 신규상장)
A005900,동양건설산업,12,2014-04-25,자본전액잠식
A005980,성지건설,12,2018-10-04,감사의견 의견거절
A006070,기린,12,2009-05-13,2008사업연도 감사인의 감사보고서상 감사의견거절
A006150,한메엔에스,12,2005-04-08,"회사정리절차 개시 신청, 최종부도발생 및 은행거래정지"
A006160,신화건설,12,2000-12-12,회사정리절차폐지결정
A006210,휴리프,3,2009-07-15,자본금의 100분의 50이상 잠식 2년 계속
A006240,진도물산,12,1998-12-24,㈜진도에 피흡수합병으로 인한 해산
A006250,극동전선,12,2005-07-18,분기 월평균 거래량 2분기 연속 미달
A006270,금성통신,12,1995-03-23,㈜엘지전자에  피흡수합병
A006290,인천정유,12,2002-04-23,2001사업년도 외부감사인의 감사의견거절
A006320,경기은행,12,1999-02-25,영업인가취소에 따른 해산사유발생
A006350,전북은행,12,2013-07-18,지주회사의 완전자회사화(지주회사 신규상장)
A006440,한일건설,12,2013-04-16,자본전액잠식
A006510,인켈,12,1996-11-28,해태전자의 피흡수 합병으로 인한 폐지
A006590,강원은행,12,1999-09-30,㈜조흥은행에 피흡수합병으로 인한 해산
A006600,동신제약,12,2006-11-22,SK케미칼(주)에 피흡수합병으로 해산
A006610,경남은행,12,2003-04-16,주식분포상황요건미달 2년계속
A006750,센추리,12,2005-04-14,감사의견거절
A006790,대상교역,12,1998-10-16,대상㈜에 피흡수합병으로 인한 해산
A006900,요업개발,12,1995-07-18,회사정리절차개시신청 기각확정
A007000,한주전자,12,1999-01-16,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A007050,유리이에스,12,2009-04-15,최종부도발생
A007100,호남식품,12,2000-05-27,상장폐지유예기간 종료
A007170,기아자동차판매,12,1999-07-16,기아자동차㈜에 피흡수합병으로 인한 해산
A007190,한솔아트원제지,12,2017-03-15,해산 사유 발생
A007200,진흥저축은행,6,2012-10-17,자본전액잠식
A007230,금성기전,12,1995-09-28,엘지산전㈜에 피흡수합병
A007240,충북은행,12,1999-05-21,㈜조흥은행과 합병후 해산
A007360,하나은행,12,2002-12-13,㈜서울은행에 피흡수합병
A007380,고합물산,12,1999-03-22,㈜고합에 피흡수합병으로 인한 해산
