Code,Name,결산월,상장폐지일,상장폐지사유
A025610,한국저축은행,6,2012-07-25,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A025830,한국합섬,12,2007-04-25,"감사의견 부적정, 자본전액잠식"
A025840,레이디,9,2002-01-23,감사의견거절 2사업년도 계속
A025850,한화화인케미칼,12,2016-03-15,해산 사유 발생
A025930,팬택,12,2007-04-25,자본전액잠식
A026870,코원에너지서비스,12,2012-11-15,신청에 의한 상장폐지
A027460,한국주택은행,12,2001-11-09,(주)국민은행과의 합병으로 신설은행 설립에 따른 해산
A027840,고덴시,12,2010-07-14,광전자(주)에 피흡수 합병으로 해산
A028440,삼화,12,1991-07-12,감사인의 감사의견거절 9년 계속
A028450,금성투자금융,6,1991-09-02,한양투자금융㈜에 피흡수합병(보람은행으로 업종전환)
A028460,태평양건설,12,1991-10-05,건설업면허반납('87.6.2)
A028470,금성부품,12,1992-06-17,(주)금성사에 피흡수합병
A028480,반도스포츠,12,1992-08-19,럭키금성상사(주)에 피흡수합병
A028490,아남정밀,3,1993-05-27,파산 : 법률규정에 의한 해산사유 해당
A028500,대도상사,12,1993-06-24,"공시서류 미제출, 영업활동의 정지"
A028510,기온물산,12,1993-10-16,"부도발생 및, 은행 거래정지, 공시서류 미제출, 회사정리절차개시신청기각"
A028520,영원통신,12,1994-03-31,"회사정리절차폐지, 공시서류미제출"
A028530,영태전자공업,10,1994-03-31,"부도발생 및 은행거래정지, 영업활동정지, 공시서류미제출"
A028540,승리기계제작소,12,1994-04-01,쌍용중공업(주)에 피흡수합병(1:0.986)
A028550,서진식품,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028560,케니상사,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028570,우생,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028580,경일화학공업,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028590,양우화학공업,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028600,백산전자,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출"
A028610,중원전자,12,1994-06-13,"회사정리절차개시신청 기각, 영업활동의 정지, 부도발생 및 은행거래정지, 공시서류미제출"
A028620,인성기연,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028630,삼나스포츠,3,1994-07-18,상장폐지신청
A028640,풍진,6,1994-08-16,동방유량에 피흡수합병
A029260,금성전기,12,1991-06-13,금성통신(주)에 피흡수합병
A029270,럭키소재,12,1991-11-11,(주)럭키에 피흡수합병
A029890,현대반도체,12,1999-10-27,현대전자산업㈜에 피흡수합병으로 인한 해산
A030710,동아상호신용금고,6,2001-07-28,해산사유(파산선고확정)
A032390,KTF,12,2009-06-23,(주)케이티에 피흡수합병으로 해산
A032710,LG카드,12,2007-10-10,신한금융지주회사의 완전자회사 편입(100% 소유)
A037620,미래에셋증권,12,2017-01-20,해산 사유 발생
A038400,외환신용카드,12,2004-03-16,(주)한국외환은행에 피흡수합병
A042100,현대오토넷,12,2009-07-16,현대모비스(주)로의 피흡수합병으로 인한 해산
A045710,온미디어,12,2011-03-22,씨제이이앤엠(주)에 피흡수합병으로 해산
A045820,LG파워콤,12,2010-01-15,(주)LG텔레콤에 피흡수 합병으로 해산
A051310,포스코플랜텍,12,2016-04-15,자본전액잠식
A053000,우리금융지주,12,2014-11-19,해산 사유 발생
A060000,국민은행,12,2008-10-10,지주회사의 완전자회사화(지주회사 신규상장)
A063350,팬택앤큐리텔,12,2007-04-25,자본전액잠식
A063510,코오롱인터,12,2006-07-21,해산 사유 발생
A064420,케이피케미칼,12,2013-01-15,해산 사유 발생
A067250,STX조선해양,12,2014-04-15,자본전액잠식
A068870,LG생명과학,12,2017-01-17,해산 사유 발생
A069470,제로원인터랙티브,12,2010-05-03,감사의견 의견거절
A076170,GBS,12,2009-04-22,2008사업연도 감사인의 감사보고서상 감사의견거절
A101990,파브코,12,2014-05-21,해산 사유 발생
A103150,하이트맥주,12,2011-09-26,(주)진로에 피흡수 합병으로 인한 해산
A103160,풀무원,12,2009-04-13,(주)풀무원홀딩스의 완전자회사 편입(100% 소유)
A104110,신성이엔지,12,2017-01-02,해산 사유 발생
A104120,신성에프에이,12,2017-01-02,해산 사유 발생
A108070,삼성이미징,12,2010-04-14,삼성전자(주)에 피흡수 합병으로 해산
A110570,넥솔론,12,2017-04-17,자본전액잠식
A114410,현대푸드시스템,12,2010-07-16,(주)현대그린푸드에 피흡수합병
A117930,한진해운,12,2017-03-07,해산 사유 발생
A192520,경남은행,12,2015-06-23,지주회사의 완전자회사화
A192530,광주은행,12,2018-10-26,지주회사(최대주주등)의 완전자회사화 등
A900030,연합과기,12,2012-09-14,감사의견 의견거절
A900050,중국원양자원,12,2017-09-27,감사의견 의견거절
A950070,중국고섬,12,2013-10-04,감사의견 의견거절
A950100,SBI모기지,3,2015-01-07,신청에 의한 상장폐지
