Code,상장된 시장,한글명
A004800,KOSPI,효성
A004830,KOSPI,덕성
A004840,KOSPI,DRB동일
A004870,KOSPI,티웨이홀딩스
A004890,KOSPI,동일산업
A004910,KOSPI,조광페인트
A004920,KOSPI,씨아이테크
A004960,KOSPI,한신공영
A004970,KOSPI,신라교역
A004980,KOSPI,성신양회
A004990,KOSPI,롯데지주
A005010,KOSPI,휴스틸
A005030,KOSPI,부산주공
A005070,KOSPI,코스모신소재
A005090,KOSPI,삼광글라스
A005110,KOSPI,한창
A005180,KOSPI,빙그레
A005190,KOSPI,동성화학
A005250,KOSPI,녹십자홀딩스
A005300,KOSPI,롯데칠성
A005320,KOSPI,국동
A005360,KOSPI,모나미
A005380,KOSPI,현대차
A005390,KOSPI,신성통상
A005420,KOSPI,코스모화학
A005430,KOSPI,한국공항
A005440,KOSPI,현대그린푸드
A005450,KOSPI,신한
A005490,KOSPI,POSCO
A005500,KOSPI,삼진제약
A005610,KOSPI,SPC삼립
A005680,KOSPI,삼영전자
A005690,KOSPI,파미셀
A005720,KOSPI,넥센
A005740,KOSPI,크라운해태홀딩스
A005750,KOSPI,대림B&Co
A005800,KOSPI,신영와코루
A005810,KOSPI,풍산홀딩스
A005820,KOSPI,원림
A005830,KOSPI,DB손해보험
A005850,KOSPI,에스엘
A005870,KOSPI,휴니드
A005880,KOSPI,대한해운
A005930,KOSPI,삼성전자
A005940,KOSPI,NH투자증권
A005950,KOSPI,이수화학
A005960,KOSPI,동부건설
A006040,KOSPI,동원산업
A006060,KOSPI,화승인더
A006090,KOSPI,사조오양
A006110,KOSPI,삼아알미늄
A006120,KOSPI,SK디스커버리
A006200,KOSPI,한국전자홀딩스
A006220,KOSPI,제주은행
A006260,KOSPI,LS
A006280,KOSPI,녹십자
A006340,KOSPI,대원전선
A006360,KOSPI,GS건설
A006370,KOSPI,대구백화점
A006380,KOSPI,카프로
A006390,KOSPI,한일현대시멘트
A006400,KOSPI,삼성SDI
A006490,KOSPI,인스코비
A006570,KOSPI,대림통상
A006650,KOSPI,대한유화
A006660,KOSPI,삼성공조
A006740,KOSPI,영풍제지
A006800,KOSPI,미래에셋대우
A006840,KOSPI,AK홀딩스
A006880,KOSPI,신송홀딩스
A006890,KOSPI,태경화학
A006980,KOSPI,우성사료
A007070,KOSPI,GS리테일
A007110,KOSPI,일신석재
A007120,KOSPI,미래아이앤지
A007160,KOSPI,사조산업
A007210,KOSPI,벽산
A007280,KOSPI,한국특수형강
A007310,KOSPI,오뚜기
A007340,KOSPI,디티알오토모티브
A007460,KOSPI,에이프로젠 KIC
A007540,KOSPI,샘표
A007570,KOSPI,일양약품
A007590,KOSPI,동방아그로
A007610,KOSPI,선도전기
A007630,KOSPI,폴루스바이오팜
A007660,KOSPI,이수페타시스
A007690,KOSPI,국도화학
A007700,KOSPI,F&F
A007810,KOSPI,코리아써키트
A007860,KOSPI,서연
A007980,KOSPI,태평양물산
A008040,KOSPI,사조동아원
A008060,KOSPI,대덕전자
A008110,KOSPI,대동전자
A008250,KOSPI,이건산업
A008260,KOSPI,NI스틸
A008350,KOSPI,남선알미늄
A008420,KOSPI,문배철강
A008490,KOSPI,서흥
A008500,KOSPI,일정실업
A008560,KOSPI,메리츠종금증권
A008600,KOSPI,윌비스
A008700,KOSPI,아남전자
A008730,KOSPI,율촌화학
A008770,KOSPI,호텔신라
A008870,KOSPI,금비
A008930,KOSPI,한미사이언스
A008970,KOSPI,동양철관
A009070,KOSPI,KCTC
A009140,KOSPI,경인전자
A009150,KOSPI,삼성전기
A009160,KOSPI,SIMPAC
A009180,KOSPI,한솔로지스틱스
A009190,KOSPI,대양금속
A009200,KOSPI,무림페이퍼
A009240,KOSPI,한샘
A009270,KOSPI,신원
A009290,KOSPI,광동제약
A009310,KOSPI,참엔지니어링
A009320,KOSPI,대우부품
A009410,KOSPI,태영건설
A009420,KOSPI,한올바이오파마
A009440,KOSPI,KC그린홀딩스
A009450,KOSPI,경동나비엔
A009460,KOSPI,한창제지
A009470,KOSPI,삼화전기
A009540,KOSPI,현대중공업
A009580,KOSPI,무림P&P
A009680,KOSPI,모토닉
A009770,KOSPI,삼정펄프
A009810,KOSPI,엔케이물산
A009830,KOSPI,한화케미칼
A009970,KOSPI,영원무역홀딩스
A010040,KOSPI,한국내화
A010050,KOSPI,우리종금
A010060,KOSPI,OCI
A010100,KOSPI,한국프랜지
A010120,KOSPI,LS산전
A010130,KOSPI,고려아연
A010140,KOSPI,삼성중공업
A010400,KOSPI,우진아이엔에스
A010420,KOSPI,한솔PNS
A010580,KOSPI,지코
A010600,KOSPI,웰바이오텍
A010620,KOSPI,현대미포조선
A010640,KOSPI,진양폴리
A010660,KOSPI,화천기계
A010690,KOSPI,화신
A010770,KOSPI,평화홀딩스
A010780,KOSPI,아이에스동서
A010820,KOSPI,퍼스텍
A010950,KOSPI,S-Oil
A010960,KOSPI,삼호개발
A011000,KOSPI,진원생명과학
A011070,KOSPI,LG이노텍
A011090,KOSPI,에넥스
A011150,KOSPI,CJ씨푸드
A011160,KOSPI,두산건설
A011170,KOSPI,롯데케미칼
A011200,KOSPI,현대상선
A011210,KOSPI,현대위아
A011230,KOSPI,삼화전자
A011280,KOSPI,태림포장
A011300,KOSPI,성안
A011330,KOSPI,유니켐
A011390,KOSPI,부산산업
A011420,KOSPI,갤럭시아에스엠
A011500,KOSPI,한농화성
A011690,KOSPI,유양디앤유
A011700,KOSPI,한신기계
A011760,KOSPI,현대상사
A011780,KOSPI,금호석유
A011790,KOSPI,SKC
A011810,KOSPI,STX
A011930,KOSPI,신성이엔지
A012030,KOSPI,DB
A012160,KOSPI,영흥철강
A012170,KOSPI,키위미디어그룹
A012200,KOSPI,계양전기
A012280,KOSPI,영화금속
A012320,KOSPI,경동인베스트
A012330,KOSPI,현대모비스
A012450,KOSPI,한화에어로스페이스
A012510,KOSPI,더존비즈온
A012600,KOSPI,청호컴넷
A012610,KOSPI,경인양행
A012630,KOSPI,HDC
A012690,KOSPI,모나리자
A012750,KOSPI,에스원
A012800,KOSPI,대창
A013000,KOSPI,세우글로벌
A013360,KOSPI,일성건설
A013520,KOSPI,화승알앤에이
A013570,KOSPI,디와이
A013580,KOSPI,계룡건설
A013700,KOSPI,까뮤이앤씨
A013870,KOSPI,지엠비코리아
A014130,KOSPI,한익스프레스
A014160,KOSPI,대영포장
A014280,KOSPI,금강공업
A014440,KOSPI,영보화학
A014530,KOSPI,극동유화
A014580,KOSPI,백광소재
A014680,KOSPI,한솔케미칼
A014710,KOSPI,사조씨푸드
A014790,KOSPI,한라
A014820,KOSPI,동원시스템즈
A014830,KOSPI,유니드
A014910,KOSPI,성문전자
A014990,KOSPI,인디에프
A015020,KOSPI,이스타코
A015230,KOSPI,대창단조
A015260,KOSPI,에이엔피
A015350,KOSPI,부산가스
A015360,KOSPI,예스코홀딩스
A015540,KOSPI,메디플란트
A015590,KOSPI,큐로
A015760,KOSPI,한국전력
A015860,KOSPI,일진홀딩스
A015890,KOSPI,태경산업
A016090,KOSPI,대현
A016360,KOSPI,삼성증권
A016380,KOSPI,동부제철
A016450,KOSPI,한세예스24홀딩스
A016580,KOSPI,환인제약
A016590,KOSPI,신대양제지
A016610,KOSPI,DB금융투자
A016710,KOSPI,대성홀딩스
A016740,KOSPI,두올
A016800,KOSPI,퍼시스
A016880,KOSPI,웅진
A017040,KOSPI,광명전기
A017180,KOSPI,명문제약
A017370,KOSPI,우신시스템
A017390,KOSPI,서울가스
A017550,KOSPI,수산중공업
A017670,KOSPI,SK텔레콤
A017800,KOSPI,현대엘리베이
A017810,KOSPI,풀무원
A017900,KOSPI,광전자
A017940,KOSPI,E1
A017960,KOSPI,한국카본
A018250,KOSPI,애경산업
A018260,KOSPI,삼성에스디에스
A018470,KOSPI,조일알미늄
A018500,KOSPI,동원금속
A018670,KOSPI,SK가스
A018880,KOSPI,한온시스템
A019170,KOSPI,신풍제약
A019180,KOSPI,티에이치엔
A019440,KOSPI,세아특수강
A019490,KOSPI,하이트론
A019680,KOSPI,대교
A020000,KOSPI,한섬
A020120,KOSPI,키다리스튜디오
A020150,KOSPI,일진머티리얼즈
A020560,KOSPI,아시아나항공
A020760,KOSPI,일진디스플
A021050,KOSPI,서원
A021240,KOSPI,코웨이
A021820,KOSPI,세원정공
A023000,KOSPI,삼원강재
A023150,KOSPI,MH에탄올
A023350,KOSPI,한국종합기술
A023450,KOSPI,동남합성
A023530,KOSPI,롯데쇼핑
A023590,KOSPI,다우기술
A023800,KOSPI,인지컨트롤스
A023810,KOSPI,인팩
A023960,KOSPI,에쓰씨엔지니어링
A024070,KOSPI,WISCOM
A024090,KOSPI,디씨엠
A024110,KOSPI,기업은행
A024720,KOSPI,한국콜마홀딩스
A024890,KOSPI,대원화성
A024900,KOSPI,덕양산업
A025000,KOSPI,KPX케미칼
A025530,KOSPI,SJM홀딩스
A025540,KOSPI,한국단자
A025560,KOSPI,미래산업
A025620,KOSPI,제이준코스메틱
A025750,KOSPI,한솔홈데코
A025820,KOSPI,이구산업
A025860,KOSPI,남해화학
A025890,KOSPI,한국주강
A026890,KOSPI,디피씨
A026940,KOSPI,부국철강
A026960,KOSPI,동서
A027390,KOSPI,한화갤러리아타임월드
A027410,KOSPI,BGF
A027740,KOSPI,마니커
A027970,KOSPI,세하
A028050,KOSPI,삼성엔지니어링
A028100,KOSPI,동아지질
A028260,KOSPI,삼성물산
A028670,KOSPI,팬오션
A029460,KOSPI,케이씨
A029530,KOSPI,신도리코
A029780,KOSPI,삼성카드
A030000,KOSPI,제일기획
A030200,KOSPI,KT
A030210,KOSPI,KTB투자증권
A030610,KOSPI,교보증권
A030720,KOSPI,동원수산
A030790,KOSPI,동양네트웍스
A031430,KOSPI,신세계인터내셔날
A031440,KOSPI,신세계푸드
A031820,KOSPI,콤텍시스템
A032350,KOSPI,롯데관광개발
A032560,KOSPI,황금에스티
A032640,KOSPI,LG유플러스
A032830,KOSPI,삼성생명
A033180,KOSPI,필룩스
A033240,KOSPI,자화전자
A033250,KOSPI,체시스
A033270,KOSPI,유나이티드제약
A033530,KOSPI,세종공업
A033660,KOSPI,아주캐피탈
A033780,KOSPI,KT&G
A033920,KOSPI,무학
A034020,KOSPI,두산중공업
A034120,KOSPI,SBS
A034220,KOSPI,LG디스플레이
A034300,KOSPI,신세계건설
A034310,KOSPI,NICE
A034590,KOSPI,인천도시가스
A034730,KOSPI,SK
A034830,KOSPI,한국토지신탁
A035000,KOSPI,지투알
A035150,KOSPI,백산
A035250,KOSPI,강원랜드
A035420,KOSPI,NAVER
A035510,KOSPI,신세계 I&C
A035720,KOSPI,카카오
A036460,KOSPI,한국가스공사
A036530,KOSPI,S&T홀딩스
A036570,KOSPI,엔씨소프트
A036580,KOSPI,팜스코
A037270,KOSPI,YG PLUS
A037560,KOSPI,CJ헬로
A037710,KOSPI,광주신세계
A039130,KOSPI,하나투어
A039490,KOSPI,키움증권
A039570,KOSPI,HDC아이콘트롤스
A041650,KOSPI,상신브레이크
A042660,KOSPI,대우조선해양
A042670,KOSPI,두산인프라코어
A042700,KOSPI,한미반도체
A044380,KOSPI,주연테크
A044450,KOSPI,KSS해운
A044820,KOSPI,코스맥스비티아이
A047040,KOSPI,대우건설
A047050,KOSPI,포스코대우
A047400,KOSPI,유니온머티리얼
A047810,KOSPI,한국항공우주
A049770,KOSPI,동원F&B
A049800,KOSPI,우진플라임
A051600,KOSPI,한전KPS
A051630,KOSPI,진양화학
A051900,KOSPI,LG생활건강
A051910,KOSPI,LG화학
A052690,KOSPI,한전기술
A053210,KOSPI,스카이라이프
A053690,KOSPI,한미글로벌
A055490,KOSPI,테이팩스
A055550,KOSPI,신한지주
A057050,KOSPI,현대홈쇼핑
A058430,KOSPI,포스코강판
