Code,상장폐지일,상장폐지사유
A003050,20041222.0,자진상장폐지신청
A003060,,
A003070,,
A003080,,
A003090,,
A003110,20020419.0,2001사업년도 외부감사인의 감사의견거절
A003120,,
A003160,,
A003190,20130503.0,감사의견 의견거절
A003200,,
A003220,,
A003230,,
A003240,,
A003260,20020430.0,자본전액잠식2년계속
A003280,,
A003290,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A003300,,
A003320,20010910.0,신한금융지주회사로의 주식이전
A003330,20061026.0,㈜하나금융지주의 완전 자회사화(100%소유)
A003350,,
A003400,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A003410,,
A003450,20161101.0,지주회사의 완전자회사화
A003460,,
A003470,,
A003480,,
A003490,,
A003500,19980519.0,자본전액잠식 7년계속에 따른 상장폐지유예기간종료
A003520,,
A003530,,
A003540,,
A003550,,
A003560,,
A003570,,
A003580,,
A003590,20040721.0,감사의견부적정 및 자본전액잠식
A003600,20150817.0,해산 사유 발생
A003610,,
A003620,,
A003640,20150116.0,해산 사유 발생
A003650,,
A003660,20080820.0,유진기업㈜에 피흡수합병으로 해산
A003680,,
A003690,,
A003720,,
A003780,,
A003810,20010523.0,영업활동에필요한자산을보유하고있지않음
A003830,,
A003840,19991002.0,주요자산 경매(2회이상 유찰)등으로 상장폐지유예기간 종료
A003850,,
A003900,20040311.0,2002사업연도 감사인의 감사보고서상 감사의견 거절
A003920,,
A003930,20040629.0,2003사업연도 감사인의 감사보고서상 감사의견거절
A003940,20160121.0,(주)삼양사에 흡수합병되어 해산
A003960,,
A003970,19970131.0,동부건설에  피흡수 합병으로 인한 해산
A003980,20030924.0,주가수준 미달
A003990,20090430.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A004000,,
A004010,20130122.0,롯데쇼핑(주)에 피흡수합병으로 해산
A004020,,
A004060,,
A004080,,
A004090,,
A004100,,
A004110,20020427.0,자본전액잠식2년계속
A004130,20181219.0,피흡수합병
A004140,,
A004150,,
A004170,,
A004190,20040331.0,감사의견거절
A004200,,
A004210,19990212.0,중요 영업용자산처분(주요자산경매)
A004230,20090430.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A004250,,
A004260,19970829.0,대성산업㈜에 피흡수합병으로 인한 해산
A004270,,
A004280,19990716.0,기아자동차㈜에 피흡수합병으로 인한 해산
A004290,20020118.0,(주)두산에 피흡수합병
A004310,,
A004330,19941223.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지,경매완료"
A004350,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A004360,,
A004370,,
A004380,,
A004390,20020413.0,2001사업년도 외부감사인의 감사의견부적정
A004410,,
A004420,20020427.0,자본전액잠식2년계속
A004430,,
A004440,,
A004450,,
A004460,20020412.0,2001사업년도 외부감사인의 감사의견부적정
A004490,,
