Code,상장폐지일,상장폐지사유
A028460,19911005.0,건설업면허반납('87.6.2)
A028470,19920617.0,(주)금성사에 피흡수합병
A028480,19920819.0,럭키금성상사(주)에 피흡수합병
A028490,19930527.0,파산 : 법률규정에 의한 해산사유 해당
A028500,19930624.0,"공시서류 미제출, 영업활동의 정지"
A028510,19931016.0,"부도발생 및, 은행 거래정지, 공시서류 미제출, 회사정리절차개시신청기각"
A028520,19940331.0,"회사정리절차폐지, 공시서류미제출"
A028530,19940331.0,"부도발생 및 은행거래정지, 영업활동정지, 공시서류미제출"
A028540,19940401.0,쌍용중공업(주)에 피흡수합병(1:0.986)
A028550,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028560,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028570,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028580,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028590,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028600,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출"
A028610,19940613.0,"회사정리절차개시신청 기각, 영업활동의 정지, 부도발생 및 은행거래정지, 공시서류미제출"
A028620,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A028630,19940718.0,상장폐지신청
A028640,19940816.0,동방유량에 피흡수합병
A028670,,
A029260,19910613.0,금성통신(주)에 피흡수합병
A029270,19911111.0,(주)럭키에 피흡수합병
A029460,,
A029530,,
A029780,,
A029890,19991027.0,현대전자산업㈜에 피흡수합병으로 인한 해산
A030000,,
A030200,,
A030210,,
A030610,,
A030710,20010728.0,해산사유(파산선고확정)
A030720,,
A030790,,
A031430,,
A031440,,
A031820,,
A032350,,
A032390,20090623.0,(주)케이티에 피흡수합병으로 해산
A032560,,
A032640,,
A032710,20071010.0,신한금융지주회사의 완전자회사 편입(100% 소유)
A032830,,
A033180,,
A033240,,
A033250,,
A033270,,
A033530,,
A033660,,
A033780,,
A033920,,
A034020,,
A034120,,
A034220,,
A034300,,
A034310,,
A034590,,
A034730,,
A034830,,
A035000,,
A035150,,
A035250,,
A035420,,
A035510,,
A035720,,
A036460,,
A036530,,
A036570,,
A036580,,
A037270,,
A037560,,
A037620,20170120.0,해산 사유 발생
A037710,,
A038400,20040316.0,(주)한국외환은행에 피흡수합병
A039130,,
A039490,,
A039570,,
A041650,,
A042100,20090716.0,현대모비스(주)로의 피흡수합병으로 인한 해산
A042660,,
A042670,,
A042700,,
A044380,,
A044450,,
A044820,,
A045710,20110322.0,씨제이이앤엠(주)에 피흡수합병으로 해산
A045820,20100115.0,(주)LG텔레콤에 피흡수 합병으로 해산
A047040,,
A047050,,
A047400,,
A047810,,
A049770,,
A049800,,
A051310,20160415.0,자본전액잠식
A051600,,
A051630,,
A051900,,
A051910,,
A052690,,
A053000,20141119.0,해산 사유 발생
A053210,,
A053690,,
A055490,,
A055550,,
A057050,,
A058430,,
A058650,,
A058730,,
A058850,,
A058860,,
A060000,20081010.0,지주회사의 완전자회사화(지주회사 신규상장)
A060980,,
A063160,,
A063350,20070425.0,자본전액잠식
A063510,20060721.0,해산 사유 발생
A064350,,
A064420,20130115.0,해산 사유 발생
A064960,,
A066570,,
A067250,20140415.0,자본전액잠식
A067830,,
A068270,,
A068290,,
A068400,,
A068870,20170117.0,해산 사유 발생
A069260,,
A069460,,
A069470,20100503.0,감사의견 의견거절
A069620,,
A069640,,
A069730,,
A069960,,
A070960,,
A071050,,
A071090,,
A071320,,
A071840,,
A071950,,
A071970,,
A072130,,
A072710,,
A073240,,
A074610,,
A075180,,
A075580,,
A076170,20090422.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A077500,,
A077970,,
A078000,,
A078520,,
A078930,,
A079160,,
A079430,,
A079440,,
A079550,,
A079660,,
A079980,,
A081000,,
A081660,,
A082640,,
A082740,,
A083420,,
A084010,,
A084670,,
A084680,,
A084690,,
A084870,,
A085310,,
A085620,,
A086280,,
A086790,,
A088350,,
A088790,,
A089470,,
A089590,,
A090080,,
A090350,,
A090370,,
A090430,,
A091090,,
A091810,,
A092200,,
A092220,,
A092230,,
A092440,,
A092780,,
A093050,,
A093230,,
A093240,,
A093370,,
A094280,,
A095570,,
A095720,,
A096760,,
A096770,,
A097230,,
A097950,,
A100220,,
A100250,,
A100840,,
A101060,,
A101140,,
A101530,,
A101990,20140521.0,해산 사유 발생
A102260,,
A102280,,
A102460,,
A103130,,
A103140,,
A103150,20110926.0,(주)진로에 피흡수 합병으로 인한 해산
A103160,20090413.0,(주)풀무원홀딩스의 완전자회사 편입(100% 소유)
A103590,,
A104110,20170102.0,해산 사유 발생
A104120,20170102.0,해산 사유 발생
A104700,,
A105560,,
A105630,,
A105840,,
A107590,,
A108070,20100414.0,삼성전자(주)에 피흡수 합병으로 해산
A108670,,
A109070,,
A110570,20170417.0,자본전액잠식
A111110,,
A111770,,
A112610,,
A114090,,
A114410,20100716.0,(주)현대그린푸드에 피흡수합병
A115390,,
A117580,,
A117930,20170307.0,해산 사유 발생
A118000,,
A119650,,
A120030,,
A120110,,
A122900,,
A123690,,
A123700,,
A123890,,
A126560,,
A128820,,
A128940,,
A129260,,
A130660,,
A133820,,
A134380,,
A134790,,
A136490,,
A138040,,
A138250,,
A138490,,
A138930,,
A139130,,
A139480,,
A143210,,
A144620,,
A145210,,
A145720,,
A145990,,
A152330,,
A155660,,
A161000,,
A161390,,
A161890,,
A163560,,
A170900,,
A175330,,
A180640,,
A181710,,
A183190,,
A185750,,
A192400,,
A192520,20150623.0,지주회사의 완전자회사화
A192530,20181026.0,지주회사(최대주주등)의 완전자회사화 등
A192820,,
A194370,,
A195870,,
A200880,,
A204320,,
A207940,,
A210540,,
A210980,,
A213500,,
A214320,,
A214330,,
A214390,,
A214420,,
A226320,,
A227840,,
A229640,,
A234080,,
A241560,,
A241590,,
A248170,,
A249420,,
A251270,,
A264900,,
A267250,,
A267260,,
A267270,,
A267290,,
A267850,,
A268280,,
A271560,,
A271980,,
A272450,,
A272550,,
A280360,,
A281820,,
A282330,,
A282690,,
A284740,,
A285130,,
A286940,,
A293480,,
A294870,,
A298000,,
A298020,,
A298040,,
A298050,,
A298690,,
A300720,,
A306200,,
A900030,20120914.0,감사의견 의견거절
A900050,20170927.0,감사의견 의견거절
A900140,,
A950010,20151105.0,
A950070,20131004.0,감사의견 의견거절
A950100,20150107.0,신청에 의한 상장폐지
